tool_used,link,link,creation_date,Stars,Watchers,Forks,Releases,packages,Contributors,openIssues,closedIssues,OpenPullRequests,ClosedPullRequests,Commits,type
bom,https://github.com/samuelmoss572/dataflowworkshop,https://github.com/samuelmoss572/dataflowworkshop,2019-08-07T15:07:50Z,6,5,3,,,4,3,1,3,15,208,SPDX
cyclonedx-gradle-plugin,https://github.com/samrocketman/jervis,https://github.com/samrocketman/jervis,2014-11-22T04:58:13Z,0,2,0,,0,469,0,0,11,13,"22,614",SPDX
ko-build/ko,https://github.com/salaboy/platforms-on-k8s,https://github.com/salaboy/platforms-on-k8s,2023-05-09T07:48:19Z,91,12,51,10,0,19,27,69,2,126,456,SPDX
cyclonedx-go,https://github.com/safedep/vet,https://github.com/safedep/vet,2022-12-30T03:39:03Z,0,2,1,5,0,,0,0,5,45,22,SPDX
bom,https://github.com/rohankumardubey/beam,https://github.com/rohankumardubey/beam,2021-09-21T06:14:15Z,2,1,1,1,0,2,2,0,0,0,2,SPDX
sbom-tool,https://github.com/rod4n4m1/hashi-vault-js,https://github.com/rod4n4m1/hashi-vault-js,2020-07-01T17:56:03Z,8,2,4,,0,,0,20,0,10,126,SPDX
bom,https://github.com/robertwb/beam-javascript,https://github.com/robertwb/beam-javascript,2022-01-04T00:51:30Z,6,1,1,,0,,0,0,0,0,57,SPDX
cyclonedx-maven-plugin,https://github.com/rmkanda/secure-pipeline-java-demo,https://github.com/rmkanda/secure-pipeline-java-demo,2020-05-28T10:31:01Z,1,4,5,,0,2,0,0,0,4,11,SPDX
tools-golang,https://github.com/riehlegroup/product-model-toolkit,https://github.com/riehlegroup/product-model-toolkit,2020-02-19T16:15:59Z,3,3,0,,1,2,0,0,0,0,21,SPDX
bom,https://github.com/RetireJS/retire.js,https://github.com/RetireJS/retire.js,2013-08-30T21:43:44Z,49,10,2,,0,,1,0,0,2,80,SPDX
build-info-go,https://github.com/remcohaszing/vscode-schemastore,https://github.com/remcohaszing/vscode-schemastore,2022-07-30T11:44:17Z,4,3,5,15,0,3,4,20,1,36,137,SPDX
bom,https://github.com/rancher/elemental-operator,https://github.com/rancher/elemental-operator,2022-05-25T10:23:32Z,0,1,0,1,0,,0,0,0,0,46,SPDX
cyclonedx-php-composer,https://github.com/Quobis/action-owasp-dependecy-track-check,https://github.com/Quobis/action-owasp-dependecy-track-check,2021-05-15T17:32:57Z,10,27,23,,0,69,2,92,2,92,"1,890",SPDX
tools-golang,https://github.com/QMSTR/qmstr,https://github.com/QMSTR/qmstr,2018-01-19T09:50:33Z,0,1,0,2,0,2,0,0,0,0,6,SPDX
cyclonedx-python-lib,https://github.com/pypi-data/pypi-json-data,https://github.com/pypi-data/pypi-json-data,2022-07-21T12:56:42Z,5,1,1,1,0,,0,0,1,5,"1,107",SPDX
cyclonedx-python-lib,https://github.com/pypa/pip-audit,https://github.com/pypa/pip-audit,2021-09-02T15:19:39Z,133,0,11,3,4,6,16,41,14,158,173,SPDX
cyclonedx-cli,https://github.com/puzzle/skills,https://github.com/puzzle/skills,2018-02-27T16:13:22Z,1,1,3,,0,2,0,0,0,0,17,SPDX
tools-golang,https://github.com/purpleidea/yesiscan,https://github.com/purpleidea/yesiscan,2021-05-05T16:08:26Z,3,4,11,,0,9,5,7,4,264,649,SPDX
bom,https://github.com/puerco/supply-chain-demo,https://github.com/puerco/supply-chain-demo,2022-03-08T07:37:36Z,47,12,14,,0,2,4,10,0,2,46,SPDX
bom,https://github.com/puerco/release-actions,https://github.com/puerco/release-actions,2023-12-02T20:32:00Z,0,1,0,,0,,0,0,0,0,15,SPDX
bom,https://github.com/Prow-Cluster-Bot/prow-config,https://github.com/Prow-Cluster-Bot/prow-config,2023-04-07T09:39:23Z,73000,97,35000,,0,2361,774,2282,517,116934,"105,871",SPDX
tools-golang,https://github.com/project-stacker/stacker-bom,https://github.com/project-stacker/stacker-bom,2023-02-09T19:02:46Z,31,5,21,14,0,15,7,33,0,90,223,SPDX
ort,https://github.com/privacy-tech-lab/privacy-pioneer-machine-learning,https://github.com/privacy-tech-lab/privacy-pioneer-machine-learning,2022-02-05T15:17:30Z,5,7,0,,0,2,3,4,0,2,129,SPDX
ort,https://github.com/porscheofficial/porscheofficial.github.io,https://github.com/porscheofficial/porscheofficial.github.io,2023-05-10T08:20:43Z,0,19,1,1,,6,0,18,0,18,22,SPDX
ort,https://github.com/porscheofficial/cookie-consent-banner,https://github.com/porscheofficial/cookie-consent-banner,2021-09-14T14:12:42Z,1,2,0,,0,,1,0,1,2,58,SPDX
ort,https://github.com/porscheofficial/.github,https://github.com/porscheofficial/.github,2021-09-21T12:57:50Z,25,2,16,,,2,0,0,0,1,22,SPDX
bom,https://github.com/pombredanne/gitlab.com-hoppr-hoppr-cyclonedx-models,https://github.com/pombredanne/gitlab.com-hoppr-hoppr-cyclonedx-models,2023-01-19T18:45:33Z,257,10,33,9,,28,8,54,0,286,891,SPDX
cyclonedx-maven-plugin,https://github.com/pmckeown/dependency-track-maven-plugin,https://github.com/pmckeown/dependency-track-maven-plugin,2019-06-29T22:02:31Z,18,4,0,36,,,0,1,0,0,321,SPDX
cyclonedx-python,https://github.com/planetmint/planetmint-driver-python,https://github.com/planetmint/planetmint-driver-python,2022-01-24T08:13:21Z,459000,15000,57000,210,0,607,165,4995,165,4995,"104,983",SPDX
cyclonedx-node-npm,https://github.com/phylum-dev/cli,https://github.com/phylum-dev/cli,2021-03-19T14:21:50Z,0,1,0,,0,,0,0,0,0,15,SPDX
bom,https://github.com/philipwig/ledcube,https://github.com/philipwig/ledcube,2021-08-11T16:14:53Z,0,1,0,,0,,0,0,0,0,8,SPDX
ort,https://github.com/philips-software/spdx-builder,https://github.com/philips-software/spdx-builder,2020-07-16T06:14:32Z,24,2,8,7,,5,9,12,1,55,321,SPDX
sbom-tool,https://github.com/philips-software/post-to-medium-action,https://github.com/philips-software/post-to-medium-action,2021-10-27T07:49:02Z,20,4,7,5,0,3,3,11,0,20,74,SPDX
cyclonedx-python,https://github.com/pgjones/tozo,https://github.com/pgjones/tozo,2022-07-22T09:20:17Z,10,8,5,,0,3,0,5,0,3,68,SPDX
