link,type,tool_used,creation_date,language,contributors,openIssues,closedIssues,commits,openPRs,closedPRs,releases,forks,stars,watchers,LOC,size,PL_category,PL_typting
https://github.com/shipwright-io/build,CycloneDX,ko-build/ko,2020-02-06T03:14:59Z,Go,48,125,380,2540,7,154,33,119,703,16,"{""Makefile"": 8943, ""Dockerfile"": 1891, ""Shell"": 35304, ""Go"": 1483765, ""HCL"": 266}",256594.0,GPL,static
https://github.com/huggingface/datasets-server,CycloneDX,cyclonedx-python,2021-07-26T09:00:53Z,Python,35,133,962,2257,9,192,125,86,751,34,"{""Python"": 2233739, ""Makefile"": 16076, ""Dockerfile"": 22904, ""Smarty"": 39741, ""HTML"": 59}",27628.0,GPL,dynamic
https://github.com/wolfi-dev/os,CycloneDX,ko-build/ko,2022-09-07T19:46:09Z,Shell,208,166,2891,72231,267,5977,0,341,952,31,"{""Makefile"": 19236, ""Shell"": 202174, ""C"": 19820, ""Java"": 11912, ""HTML"": 19558, ""Python"": 19164, ""Rust"": 420, ""C++"": 2632, ""CMake"": 94, ""Open Policy Agent"": 616}",132140.0,DSL,
https://github.com/jfrog/jfrog-cli,CycloneDX,build-info-go,2015-08-18T20:49:18Z,Go,74,231,883,2793,16,301,304,255,553,58,"{""Go"": 1008677, ""Shell"": 50503, ""JavaScript"": 8906, ""Dockerfile"": 1298, ""Batchfile"": 82, ""Makefile"": 1081}",59856.0,GPL,static
https://github.com/sonatype-nexus-community/search-maven-org,CycloneDX,cyclonedx-maven-plugin,2018-02-22T22:42:35Z,TypeScript,21,41,95,215,19,15,0,143,482,36,"{""TypeScript"": 155752, ""JavaScript"": 2119, ""HTML"": 40181, ""Shell"": 176, ""SCSS"": 32617}",9345.0,GPL,both
https://github.com/vaadin/platform,CycloneDX,cyclonedx-maven-plugin,2017-05-19T16:34:14Z,Java,53,134,559,2358,1,707,923,80,601,51,"{""Java"": 201648, ""Shell"": 4402, ""JavaScript"": 87367, ""Python"": 863, ""HTML"": 1617, ""TypeScript"": 50946, ""CSS"": 235}",7886.0,GPL,static
https://github.com/chainguard-dev/osquery-defense-kit,CycloneDX,gh-sbom,2022-08-31T18:33:46Z,Makefile,8,1,6,1457,2,2,29,38,570,12,"{""Makefile"": 4142}",4949.0,DSL,
https://github.com/kubernetes/release,CycloneDX,ko-build/ko,2016-03-23T22:11:59Z,Go,174,71,653,6886,8,308,47,504,487,78,"{""Shell"": 95901, ""Go"": 1257869, ""Dockerfile"": 24411, ""Makefile"": 20506}",20976.0,GPL,static
https://github.com/pfsense/FreeBSD-ports,CycloneDX,cyclonedx-python-lib,2015-08-20T20:02:11Z,Makefile,0,0,0,1314151,27,372,0,616,478,67,"{""Makefile"": 35760564, ""PHP"": 8353253, ""Shell"": 5022081, ""Awk"": 24494, ""Python"": 1420815, ""Perl"": 628890, ""Tcl"": 37223, ""Lua"": 43329, ""Ruby"": 115220, ""Roff"": 2252138}",2472769.0,DSL,
https://github.com/tilt-dev/ctlptl,CycloneDX,ko-build/ko,2020-10-16T18:30:00Z,Go,25,11,80,333,1,18,72,39,600,6,"{""Makefile"": 651, ""Shell"": 9816, ""Go"": 289399, ""Dockerfile"": 4908}",1006.0,GPL,static
