tool_used,link,creation_date,,stars,watchers,forks,releases,packages,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,type
ko-build/ko,https://github.com/chainguard-dev/apko,2022-02-08T17:04:37Z,,841,11,71,,2,34,65,135,8,691,"1,678",CycloneDX
cyclonedx-gomod,https://github.com/chainguard-dev/bom-shelter,2022-02-15T20:01:14Z,,36,4,4,,0,2,1,13,0,6,50,CycloneDX
bom,https://github.com/chainguard-dev/melange,2022-03-07T19:53:27Z,,270,9,53,,1,38,58,64,19,578,"1,502",SPDX
gh-sbom,https://github.com/chainguard-dev/osquery-defense-kit,2022-08-31T18:33:46Z,,454,10,27,19,0,3,0,6,0,315,"1,030",CycloneDX
cyclonedx-go,https://github.com/chainloop-dev/chainloop,2023-03-06T14:30:50Z,,210,5,10,22,4,11,57,66,1,236,223,CycloneDX
spdx-sbomgenerator,https://github.com/chamilad/kibana-prometheus-exporter,2020-03-08T08:38:38Z,,8,3,7,6,1,3,4,16,0,17,84,SPDX
bom,https://github.com/chaos-mesh/chaos-mesh,2019-09-04T02:29:38Z,,6000,128,748,68,8,178,338,1169,16,2485,"1,739",SPDX
bom,https://github.com/chintal/tendril,2015-07-28T20:38:43Z,,2,2,2,,0,2,0,17,0,4,"1,035",SPDX
tools-java,https://github.com/chris-toenjes-deye/salus-spdx-to-osv,2022-08-10T12:58:33Z,,1,1,0,,0,3,0,1,0,1,29,SPDX
cyclonedx-python,https://github.com/ciaranmccormick/python-bods-client,2021-02-20T20:19:06Z,,15,4,3,15,0,3,0,7,0,42,101,CycloneDX
bom,https://github.com/cilium/cilium,2015-12-16T12:33:31Z,,165000,310,24000,250,,645,913,7319,187,19797,"25,670",SPDX
bom,https://github.com/cilium/proxy,2018-10-29T23:24:15Z,,102,22,41,,0,19,9,22,7,330,748,SPDX
bom,https://github.com/cilium/tetragon,2022-03-23T10:25:36Z,,26000,44,241,10,0,59,131,157,72,1149,"2,022",SPDX
ko-build/ko,https://github.com/cncf/clomonitor,2022-01-14T17:06:04Z,,77,9,35,,,20,9,85,5,1174,645,CycloneDX
ko-build/ko,https://github.com/cncf/devstats,2023-03-30T07:49:21Z,,33,11,5,,,3,1,25,0,3,387,CycloneDX
ko-build/ko,https://github.com/cncf/tag-contributor-strategy,2020-02-28T18:59:56Z,,130,25,89,,,34,68,77,10,370,906,CycloneDX
