link,type
https://github.com/echapmanFromBunnings/medium-sbom,SPDX
https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-Compatibility-Libraries,SPDX
https://github.com/dpvreony/net-repo-template,SPDX
https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-DataImport,SPDX
https://github.com/xjtucoderesearch/UsabilityTest,SPDX
https://github.com/pombredanne/gitlab.com-hoppr-hoppr-cyclonedx-models,SPDX
https://github.com/philipwig/ledcube,SPDX
https://github.com/swinslow/peridot-agents,SPDX
https://github.com/MrWenBo/mescep,SPDX
https://github.com/goneall/spdx-model-to-java,SPDX
https://github.com/gosh-sh/gosh-build-tools,SPDX
https://github.com/06kellyjac/nur-packages,SPDX
https://github.com/dhercher/beam-old,SPDX
https://github.com/OpenTOSCA/license-engine,SPDX
https://github.com/zvr/hub-spdx,SPDX
https://github.com/Be-Secure/BeS-dev-kit,SPDX
https://github.com/ep-infosec/36_linkedin_beam,SPDX
https://github.com/maxhbr/benchmark,SPDX
https://github.com/ep-infosec/33_apache_beam,SPDX
https://github.com/samuelmoss572/dataflowworkshop,SPDX
https://github.com/kolaczyn/typescript-template,SPDX
https://github.com/williamfzc/sbom-rule-diff,SPDX
https://github.com/gridgentoo/uber-kubernetes-test-infra,SPDX
https://github.com/mmogylenko/rules_deb_packages,SPDX
https://github.com/opossum-tool/opossum.lib.py,SPDX
https://github.com/MadhavJivrajani/owners-counts,SPDX
https://github.com/Prow-Cluster-Bot/prow-config,SPDX
https://github.com/Be-Secure/ansible-role-oah-beslab,SPDX
https://github.com/actions-marketplace-validations/philips-software_post-to-medium-action,SPDX
https://github.com/fullsushidev/qmstr-1,SPDX
https://github.com/Exynos-AOSP-Master/android_build,SPDX
https://github.com/AOSP-14-RMX2020/platform_build,SPDX
https://github.com/project-stacker/stacker-bom,SPDX
https://github.com/mluker/artifact-signing,SPDX
https://github.com/mluker/secure-supply-chain,SPDX
https://github.com/ds2/docker-templates,SPDX
https://github.com/sethmlarson/cpython-sbom,SPDX
https://github.com/MHarmony/mharmony.io,SPDX
https://github.com/yuuki1967/https-gintro-to-dotnet-web-dev,SPDX
https://github.com/swinslow/cncf-exceptions-maker,SPDX
https://github.com/aasim/Sample2,SPDX
