Format,Tool,Repo,Stars,Watchers,Forks,Releases,Contributors,OpenIssues,ClosedIssues,OpenPullRequest,ClosedPullRequest,creation_date,age,Commits
SPDX,Github,CycloneDX/cyclonedx-rust-cargo,77,10,,4,12,,,17,598,2019-05-21T20:48:15Z,1821,1063
CycloneDx,Github,CycloneDX/cyclonedx-rust-cargo,77,10,,4,12,,,17,598,2019-05-21T20:48:15Z,1821,1063
CycloneDx,Github,CycloneDX/cyclonedx-web-tool,26,4,,14,4,,,7,107,2021-05-21T12:46:14Z,1090,146
CycloneDx,Official,CycloneDX/cyclonedx-webpack-plugin,23,4,,32,5,,,5,1235,2020-06-04T03:27:11Z,1442,811
CycloneDx,Github,CycloneDX/cyclonedx-webpack-plugin,23,4,,32,5,,,5,1235,2020-06-04T03:27:11Z,1442,811
SPDX,Github,CycloneDX/cyclonedx-webpack-plugin,23,4,,32,5,,,5,1235,2020-06-04T03:27:11Z,1442,811
CycloneDx,Github,CycloneDX/cyclonedx.org,8,12,,0,22,,,3,269,2018-07-20T00:58:21Z,2127,1066
CycloneDx,Github,CycloneDX/gh-dotnet-generate-sbom,8,4,,1,,,,1,0,2020-06-22T11:21:19Z,1423,20
CycloneDx,Github,CycloneDX/gh-gomod-generate-sbom,9,4,,6,4,,,3,31,2021-06-04T18:36:39Z,1076,81
CycloneDx,Github,CycloneDX/gh-node-module-generatebom,20,6,,4,,,,0,11,2020-07-13T21:55:46Z,1402,32
CycloneDx,Github,CycloneDX/gh-php-composer-generate-sbom,0,4,,3,,,,0,6,2020-07-13T13:02:10Z,1402,24
CycloneDx,Github,CycloneDX/gh-python-generate-sbom,12,6,,4,2,,,0,4,2020-07-13T11:58:49Z,1402,27
CycloneDx,Github,CycloneDX/homebrew-cyclonedx,0,9,,0,,,,0,5,2022-03-02T19:14:56Z,805,19
CycloneDx,Github,CycloneDX/sbom-combiner,10,3,,0,2,,,1,1,2021-05-20T15:44:32Z,1091,3
CycloneDx,Github,CycloneDX/sbom-commons,1,4,,0,3,,,8,45,2021-06-30T04:54:39Z,1051,40
CycloneDx,Github,CycloneDX/sbom-commons-combiner,0,4,,0,3,,,2,7,2021-06-30T04:51:09Z,1050,6
CycloneDx,Github,CycloneDX/sbom-comparator,18,4,,0,2,,,0,1,2021-05-20T15:45:40Z,1091,3
