Format,Tool,Repo,CreationDate,Language,Contributors,OpenPullRequest,ClosedPullRequest,Releases,Forks,Stars,Watchers,Commits,OpenIssues,ClosedIssues
CycloneDx,Official,medavis-gmbh/LicenseComplianceTool,2022-07-27T06:36:52Z,Java,3,1,31,0,1,4,2,52,4,12
SPDX,Github,jslicense/spdx-correct.js,2015-04-29T20:40:33Z,JavaScript,7,1,28,0,22,31,4,119,1,13
CycloneDx,Official,sonatype-nexus-community/chelsea,2019-03-09T20:35:57Z,Ruby,10,3,28,0,11,12,8,129,9,7
SPDX,Github,philips-software/spdx-action,2021-01-22T08:32:01Z,,4,0,26,18,4,14,2,100,2,8
CycloneDx,Github,CycloneDX/bom-examples,2020-07-31T19:03:34Z,,5,0,25,0,53,153,11,118,9,7
CycloneDx,Github,goneall/spdxcyclone,2021-07-15T20:12:13Z,Java,3,0,24,6,8,25,5,85,5,12
SPDX,Github,goneall/spdxcyclone,2021-07-15T20:12:13Z,Java,3,0,24,6,8,25,5,85,5,12
SPDX,Github,phadej/spdx,2015-06-05T10:25:28Z,Haskell,2,1,24,0,6,5,4,77,1,8
SPDX,Github,doubleopen-project/spdx-rs,2021-07-13T10:49:57Z,Rust,7,1,23,5,8,6,3,93,5,3
SPDX,Github,ehuss/license-exprs,2015-06-30T03:59:55Z,Rust,12,0,23,1,11,19,8,49,4,8
SPDX,Github,spdx/license-list-data,2016-04-15T22:48:00Z,HTML,3,0,23,23,139,480,35,644,0,0
SPDX,Github,emzeat/mz-lictools,2013-06-17T08:46:46Z,Python,2,0,22,0,3,0,2,173,0,11
SPDX,Github,ItsNickBarry/hardhat-spdx-license-identifier,2020-05-18T01:30:46Z,JavaScript,6,1,22,0,5,16,3,76,0,1
SPDX,Github,jslicense/spdx-license-ids,2014-10-31T04:06:09Z,JavaScript,4,0,22,4,20,31,4,132,0,13
SPDX,Github,spdx/spdx-java-spreadsheet-store,2020-05-12T03:20:45Z,Java,3,0,22,14,4,2,3,89,0,7
SPDX,Github,xswordsx/spdx-to-react,2017-05-30T05:53:50Z,JavaScript,2,5,22,2,0,0,2,66,0,1
SPDX,Github,clearlydefined/spdx,2019-05-06T15:12:24Z,JavaScript,9,6,21,1,6,5,11,44,2,0
SPDX,Github,spdx/sbom-landscape,2021-05-13T21:36:52Z,,4,3,21,0,11,15,5,20,4,3
CycloneDx,Github,siculo/sbt-bom,2019-03-19T13:58:11Z,Scala,1,0,20,2,3,15,3,105,14,21
CycloneDx,Github,sonatype-nexus-community/go-sona-types,2020-05-22T19:15:57Z,Go,5,0,20,7,8,3,8,42,0,4
SPDX,Github,yevster/spdx-edit,2015-07-01T07:04:46Z,Java,3,5,20,4,3,3,3,111,2,6
SPDX,Github,swinslow/spdx-go,2018-09-23T18:51:29Z,Go,1,0,19,0,0,4,2,107,0,15
CycloneDx,Official,docker/docker-sbom-cli-plugin,2022-01-31T17:49:31Z,Go,4,11,18,9,14,145,14,28,10,3
SPDX,Github,hesa/spdx-validator,2021-09-12T19:11:58Z,Python,2,0,18,0,2,1,2,157,3,16
CycloneDx,Official,javixeneize/yasca,2022-04-24T17:08:41Z,HTML,1,1,18,4,2,13,1,116,2,7
SPDX,Github,morficus/license-ls,2019-06-22T17:48:37Z,JavaScript,4,7,18,0,6,19,2,65,1,3
SPDX,Github,spdx/spdx-to-osv,2021-09-29T18:40:04Z,Java,3,1,18,5,11,58,7,62,3,10
SPDX,Github,ubinux/SW360tools,2019-11-18T00:32:03Z,Java,3,10,18,1,1,1,3,17,0,0
SPDX,Github,cloudflightio/spdx-catalog,2022-03-11T20:35:35Z,Kotlin,4,0,17,8,1,0,7,54,0,0
SPDX,Github,spdx/spdx-license-matcher,2019-06-20T21:32:23Z,Python,6,0,17,5,14,25,4,75,1,6
SPDX,Github,enarx/spdx,2020-08-19T19:01:35Z,Python,6,1,16,0,8,1,6,24,0,4
SPDX,Github,spdx/license-coverage-grader,2017-08-17T04:08:49Z,Python,4,1,16,0,10,7,7,135,3,6
CycloneDx,Github,equisoft-actions/golang-sbom,2022-02-23T21:06:38Z,,4,1,15,10,0,0,2,25,1,1
SPDX,Github,jslicense/spdx-expression-parse.js,2015-08-02T03:12:19Z,JavaScript,5,4,15,0,26,42,10,169,4,11
CycloneDx,Github,ninoseki/pycomponents,2022-04-23T02:02:32Z,Python,1,1,15,0,2,4,3,55,0,0
SPDX,Github,shnitish/spdx-pdf-html-template,2019-06-01T14:06:08Z,HTML,1,0,15,0,2,0,0,42,0,1
CycloneDx,Github,CycloneDX/cyclonedx-ruby-gem,2018-05-21T21:52:13Z,Ruby,10,9,13,0,18,19,5,102,6,3
SPDX,Github,CycloneDX/cyclonedx-ruby-gem,2018-05-21T21:52:13Z,Ruby,10,9,13,0,18,19,5,102,6,3
SPDX,Github,ec-europa/spdx,2019-03-13T09:26:56Z,PHP,3,1,13,6,1,0,16,59,0,0
SPDX,Github,joshdk/licensor,2017-12-03T06:03:05Z,Shell,1,1,13,1,1,4,2,36,6,5
SPDX,Github,Eideticom/workflow-license-check,2022-06-15T20:30:31Z,Python,3,0,12,0,1,4,4,46,1,1
CycloneDx,Official,IBM/gauge,2022-04-19T19:25:33Z,,3,0,12,0,6,11,6,37,0,8
SPDX,Github,sambacha/spdx-runner,2020-07-31T08:49:30Z,Python,1,0,12,2,0,1,3,39,2,0
CycloneDx,Github,CycloneDX/gh-node-module-generatebom,2020-07-13T21:55:46Z,JavaScript,5,0,11,4,7,20,6,32,2,3
SPDX,Github,espressif/check-copyright,2022-06-16T07:52:13Z,Python,9,0,11,4,5,8,8,33,0,2
SPDX,Github,sindresorhus/spdx-license-list,2014-08-05T20:02:07Z,JavaScript,10,0,11,12,16,87,9,63,0,11
SPDX,Github,condy0919/spdx.el,2020-04-12T17:05:53Z,Emacs Lisp,4,0,10,0,4,13,4,240,2,5
SPDX,Github,jslicense/npm-license-corrections.json,2019-02-15T22:38:42Z,JavaScript,4,0,10,0,5,1,3,69,1,2
SPDX,Github,krysnuvadga/license-coverage-grader,2017-06-07T17:25:06Z,Python,1,0,10,0,1,0,2,91,2,3
CycloneDx,Github,mattermost/gobom,2021-02-26T10:43:09Z,Go,2,6,10,0,4,2,27,54,0,0
SPDX,Github,SamuraiAku/SPDX.jl,2021-09-13T16:37:30Z,Julia,3,2,10,11,1,5,2,243,8,24
SPDX,Github,spdx/spdx-github,2017-05-17T16:14:53Z,Python,4,0,10,0,4,5,6,168,0,8
CycloneDx,Github,thspinto/oss_inventory,2020-04-05T14:15:01Z,Go,3,7,10,0,1,2,3,30,1,0
SPDX,Github,tiaanduplessis/license-o-matic,2018-03-30T15:51:27Z,JavaScript,5,0,10,0,6,5,2,24,0,2
SPDX,Github,jslicense/spdx-satisfies.js,2015-07-18T20:34:32Z,JavaScript,4,2,9,0,10,11,3,66,1,6
CycloneDx,Official,nyph-infosec/daggerboard,2022-06-01T21:38:08Z,JavaScript,6,1,9,4,19,94,12,55,3,13
SPDX,Github,spdx/governance,2021-08-25T13:57:00Z,,5,1,9,0,8,14,7,20,0,1
SPDX,Github,spdx/license-list,2015-03-23T22:40:32Z,,5,0,9,0,27,42,14,78,0,14
SPDX,Github,swinslow/npm-spdx,2019-11-18T15:01:12Z,Go,1,20,9,0,3,11,3,8,2,3
CycloneDx,Github,voltone/rebar3_sbom,2019-11-19T15:31:55Z,Erlang,4,0,9,5,8,9,1,13,2,6
