"","Tags","identifier","n"
"268","ecosystem:perl","CycloneDX",2
"269","ecosystem:perl","SPDX",1
"270","ecosystem:php","CycloneDX",4
"271","ecosystem:php","SPDX",2
"272","ecosystem:python","CycloneDX",20
"273","ecosystem:python","SPDX",6
"274","ecosystem:ruby","CycloneDX",12
"275","ecosystem:ruby","SPDX",2
"276","ecosystem:rust","CycloneDX",8
"277","ecosystem:rust","SPDX",1
"278","ecosystem:windows","CycloneDX",6
"279","ecosystem:windows","SPDX",3
"280","ecosystem:wordpress","CycloneDX",2
"281","ecosystem:wordpress","SPDX",1
"282","email and url scan","CycloneDX",6
"283","email and url scan","SPDX",12
"284","end user","CycloneDX",382
"285","engine","CycloneDX",2
"286","engine","SPDX",1
"287","enhancement","CycloneDX",4535
"288","enhancement","SPDX",2749
"289","epic","SPDX",23
"290","epic: finalize engine-syft integration","CycloneDX",14
"291","epic: finalize engine-syft integration","SPDX",7
"292","epic: grype / engine integration","CycloneDX",40
"293","epic: grype / engine integration","SPDX",4
"294","epic: syft enterprise upload","CycloneDX",6
"295","epic: syft enterprise upload","SPDX",3
"296","evaluator","SPDX",76
"297","events","CycloneDX",26
"298","example","CycloneDX",1
"299","example","SPDX",1
"300","examples","SPDX",15
"301","exceptions","CycloneDX",35
"302","experimental","CycloneDX",2
"303","experimental","SPDX",4
"304","false-negative","CycloneDX",46
"305","false-positive","CycloneDX",230
"306","false-positive:cpe","CycloneDX",60
"307","feature","CycloneDX",73
"308","feature","SPDX",146
"309","feature request","CycloneDX",13
"310","feature_request","SPDX",1
"311","file info","CycloneDX",11
"312","file info","SPDX",22
"313","filtering","CycloneDX",6
"314","filtering","SPDX",1
"315","firefox","SPDX",2
"316","first timers only","CycloneDX",2
"317","first timers only","SPDX",4
"318","fixed pending review","CycloneDX",80
"319","fixed pending review","SPDX",160
"320","foreach","CycloneDX",35
"321","format:cyclonedx","CycloneDX",20
"322","format:cyclonedx","SPDX",6
"323","format:spdx","CycloneDX",16
"324","format:spdx","SPDX",7
"325","general question","SPDX",1
"326","generate-refactoring","CycloneDX",3
"327","generation","CycloneDX",177
"328","generation-existing","CycloneDX",7
"329","github_actions","CycloneDX",5
"330","github_actions","SPDX",5
"331","global context","CycloneDX",2
"332","go","CycloneDX",1
"333","go:1.18","CycloneDX",2
"334","golang","SPDX",29
"335","good first issue","CycloneDX",603
"336","good first issue","SPDX",460
"337","good for new participants","SPDX",5
"338","good-first-issue","CycloneDX",186
"339","good-first-issue","SPDX",141
"340","grafana","CycloneDX",5
"341","greenkeeper","SPDX",6
"342","grokability","CycloneDX",21
"343","grokability","SPDX",42
"344","gsoc","SPDX",66
"345","hack","CycloneDX",1
"346","hack","SPDX",2
"347","hacktoberfest","CycloneDX",21
"348","hacktoberfest","SPDX",54
"349","has merge conflicts","SPDX",1
"350","helm","CycloneDX",140
"351","help wanted","CycloneDX",304
"352","help wanted","SPDX",293
"353","help-wanted","CycloneDX",8
"354","help-wanted","SPDX",2
"355","helper-cli","SPDX",12
"356","high-priority","CycloneDX",12
"357","high-priority","SPDX",24
"358","hold for more input","SPDX",1
"359","hygiene","CycloneDX",3
"360","hygiene","SPDX",6
"361","idea","CycloneDX",18
"362","idea","SPDX",12
"363","imageVerify","CycloneDX",156
"364","improve-license-detection","CycloneDX",40
"365","improve-license-detection","SPDX",80
"366","in triage","CycloneDX",270
"367","installation and packaging","CycloneDX",93
"368","installation and packaging","SPDX",186
"369","integration","CycloneDX",3
"370","integration","SPDX",6
"371","integration/defectdojo","CycloneDX",19
"372","integration/msteams","CycloneDX",1
"373","integration/vulndb","CycloneDX",1
"374","intermediate","CycloneDX",13
"375","intermediate","SPDX",26
"376","invalid","CycloneDX",21
"377","invalid","SPDX",65
"378","its on","SPDX",1
"379","java","SPDX",11
"380","javascript","CycloneDX",2
"381","json","CycloneDX",16
"382","json","SPDX",7
"383","kind/bug","CycloneDX",13
"384","kind/bug","SPDX",32
"385","kind/documentation","CycloneDX",1
"386","kind/documentation","SPDX",1
"387","kind/epic","CycloneDX",1
"388","kind/feature","CycloneDX",18
"389","kind/feature","SPDX",27
"390","kind/question","CycloneDX",5
"391","kind/support","SPDX",1
"392","landscape","SPDX",1
"393","large","SPDX",8
"394","legal","CycloneDX",2
"395","legal","SPDX",2
"396","legal team review","SPDX",3
"397","license","CycloneDX",28
"398","license","SPDX",14
"399","license expression","SPDX",3
"400","license scan","CycloneDX",385
"401","license scan","SPDX",770
"402","license-review","CycloneDX",20
"403","license-review","SPDX",40
"404","license_clarity_score","CycloneDX",7
"405","license_clarity_score","SPDX",14
"406","lifecycle/frozen","CycloneDX",58
"407","lifecycle/frozen","SPDX",1
"408","lifecycle/rotten","SPDX",26
"409","lifecycle/stale","CycloneDX",108
"410","lifecycle/stale","SPDX",2
"411","live-online-scan","CycloneDX",3
"412","live-online-scan","SPDX",6
"413","load testing","CycloneDX",5
"414","log enhancement","CycloneDX",41
"415","long running","CycloneDX",4
"416","long running","SPDX",8
"417","low hanging fruit","SPDX",3
"418","maintenance","CycloneDX",8
"419","maintenance","SPDX",6
"420","major","CycloneDX",9
"421","major","SPDX",18
"422","maven","SPDX",11
"423","maybe in REUSE tool","SPDX",2
"424","memory","CycloneDX",9
"425","meta","CycloneDX",4
"426","metrics","CycloneDX",2
"427","milestone 1.10.1","CycloneDX",1
"428","milestone 1.11.0","CycloneDX",1
"429","milestone 1.11.2","CycloneDX",4
