tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage,format
bom,Blinky in 3D!,https://github.com/kbob/LED-Cube,[],[],,49,10,2,,,0.0,,,1,0,0,2,80,HTML,SPDX
spdx-maven-plugin,A light-weight app to audit and inventory large codebases for open source license compliance.,https://github.com/opossum-tool/OpossumUI,[],"['spdx', 'package-dependency', 'remediation', 'license-scan', 'copyright-scan', 'software-composition-analysis', 'codescan', 'oss-compliance', 'software-bill-of-materials']",Apache-2.0 license,48,2,25,71.0,OpossumUI-2023-09-05,0.0,,21.0,72,135,9,1839,"3,482",TypeScript,SPDX
spdx-sbomgenerator,Public home for LLNL software catalog,https://github.com/LLNL/llnl.github.io,[],"['javascript', 'jekyll', 'website', 'catalog', 'portal', 'gov']",MIT license,47,10,50,,,0.0,,30.0,26,114,1,503,"3,333",JavaScript,SPDX
bom,Examples and proof-of-concept for Software Bill of Materials (SBOM) code & data,https://github.com/CERTCC/SBOM,[],"['bill-of-materials', 'sbom', 'sbom-generator']",MIT license,47,12,14,,,0.0,,2.0,4,10,0,2,46,JavaScript,SPDX
tools-java,Produce an Open Source Vulnerability JSON file based on information in an SPDX document,https://github.com/spdx/spdx-to-osv,[],[],Apache-2.0 license,47,5,9,5.0,Version 0.1.2 of the SPDX to OSV Utility,0.0,,3.0,3,9,0,17,57,Java,SPDX
sbom-tool,Converts cargo's json output (from stdin) to JUnit XML (to stdout).,https://github.com/johnterickson/cargo2junit,[],[],MIT license,46,2,12,,,0.0,,9.0,12,13,1,59,108,Rust,SPDX
Spdx-Java-Library,SPDX Command Line Tools using the Spdx-Java-Library,https://github.com/spdx/tools-java,[],[],Apache-2.0 license,43,6,31,16.0,Release 1.1.7 of the SPDX Java Tools,0.0,15.0,11.0,10,50,2,62,215,Java,SPDX
bom,Lockheed Martin developed utility to generate CycloneDX SBOMs for Linux distributions,https://github.com/CycloneDX/cyclonedx-linux-generator,[],"['linux', 'owasp', 'bom', 'bill-of-materials', 'software-bill-of-materials', 'sbom', 'cyclonedx', 'sbom-generator']",View license,37,8,11,,,0.0,,4.0,5,0,10,54,78,Java,SPDX
sbom-tool,A node.js module to interact with the Hashicorp Vault API.,https://github.com/rod4n4m1/hashi-vault-js,[],[],,37,8,9,4.0,Release v0.4.14,0.0,,8.0,6,22,0,16,153,JavaScript,SPDX
tools-python,Check SPDX SBOM for NTIA minimum elements,https://github.com/spdx/ntia-conformance-checker,[],"['sbom', 'sbom-tool']",Apache-2.0 license,36,10,10,9.0,v0.5.1,0.0,,11.0,2,75,0,80,283,Python,SPDX
