tool_used,about,link,projectCategory,tags,licence,stars,watchers,forks,releases,latestRelease,packages,usedBy,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,programmingLanguage
cyclonedx-python,Ansible role to install workstation packages,https://github.com/AlbanAndrieu/ansible-workstation,[],[],GPL-3.0 license,3,4,1,4,Add molecule,0,,,0,0,3,3,206,Jinja
cyclonedx-python,zsh pazi,https://github.com/luismayta/zsh-pazi,[],"['plugin', 'zsh', 'peru', 'pazi']",LGPL-3.0 license,5,2,0,,,0,,3,1,6,2,629,729,Makefile
cyclonedx-python,A sample project using bower components and angular,https://github.com/AlbanAndrieu/nabla-servers-bower-sample,[],"['docker', 'npm', 'angular', 'bower']",Apache-2.0 license,2,3,0,12,v1.0.5 : Fix PostCSS,0,,3,0,0,33,280,101,Groovy
cyclonedx-python,Contains the dashboard and designs done with the data that is close to reality,https://github.com/Kamalabot/dashboard_Designs,[],[],MIT license,0,1,0,,,0,,,0,0,0,4,85,Jupyter
cyclonedx-python,,https://github.com/Kamalabot/svelte-docker-dashboard,[],[],,0,1,1,,,0,,,0,0,0,0,33,Svelte
cyclonedx-python,"Repo that hosts my list of projects on Data Visualisation, Java Script, CSS and HTML",https://github.com/Kamalabot/M3nD3,[],[],MIT license,0,1,1,,,0,,,0,0,0,0,64,JavaScript
cyclonedx-python,Blog for PyCon Taiwan,https://github.com/pycontw/pycontw-blog,[],"['blog', 'pycontw']",,2,6,7,,,,,11,5,3,1,40,108,Python
cyclonedx-python,Low-effort reachability analysis for third-party code vulnerabilities.,https://github.com/duo-labs/narrow,[],[],,14,7,3,,,0,,3,7,0,0,4,63,Python
cyclonedx-python,Terraform TestKitchen Container,https://github.com/bdwyertech/docker-tfkit,[],[],,3,4,0,,,1,,3,0,8,11,363,108,Dockerfile
cyclonedx-python,,https://github.com/letiziaia/multilayer-alignment,[],[],Apache-2.0 license,0,1,0,,,0,,,0,0,0,1,56,Python
cyclonedx-python,Contains an API to query the Velma TV show,https://github.com/alexlop29/the-velma-api,[],[],,0,1,0,,,,,,9,0,3,3,169,Python
cyclonedx-python,My blog for recording entertainment stuff.,https://github.com/Lee-W/travlog,[],['blog'],,0,2,0,,,,,3,2,0,0,3,344,Python
cyclonedx-python,Ansible role to manage shell installation,https://github.com/AlbanAndrieu/ansible-shell,[],[],GPL-3.0 license,2,3,2,1,Stable version on Ubuntu 16.04,0,,,0,0,0,0,278,Shell
